iter	Passed	Remaining
1392	258203	112512
1393	258371	112319
1394	258538	112126
1395	258715	111936
1396	258892	111748
1397	259067	111558
1398	259227	111362
1399	259407	111174
1400	259578	110983
1401	259762	110797
1402	259942	110609
1403	260128	110425
1404	260306	110236
1405	260476	110044
1406	260650	109854
1407	260837	109670
1408	261066	109503
1409	261221	109305
1410	261407	109120
1411	261718	108987
1412	261914	108806
1413	262210	108667
1414	262526	108535
1415	262721	108353
1416	262885	108159
1417	263067	107972
1418	263233	107779
1419	263407	107588
1420	263559	107389
1421	263728	107197
1422	263886	107001
1423	264067	106813
1424	264256	106629
1425	264451	106448
1426	264639	106263
1427	264796	106066
1428	264950	105869
1429	265141	105685
1430	265330	105501
1431	265519	105317
1432	265708	105133
1433	265938	104965
1434	266118	104778
1435	266320	104599
1436	266571	104439
1437	266852	104291
1438	267047	104109
1439	267304	103951
1440	267584	103802
1441	267805	103630
1442	267976	103439
1443	268164	103254
1444	268341	103065
1445	268510	102873
1446	268698	102688
1447	268879	102500
1448	269042	102306
1449	269226	102120
1450	269401	101930
1451	269567	101737
1452	269738	101546
1453	269917	101358
1454	270093	101168
1455	270259	100976
1456	270417	100779
1457	270586	100588
1458	270888	100446
1459	271117	100276
1460	271346	100106
1461	271559	99930
1462	271771	99754
1463	271937	99561
1464	272135	99380
1465	272308	99190
1466	272485	99001
1467	272662	98812
1468	272840	98623
1469	273029	98439
1470	273203	98249
1471	273382	98060
1472	273562	97873
1473	273709	97673
1474	273865	97477
1475	274042	97288
1476	274211	97097
1477	274407	96915
1478	274590	96728
1479	274765	96539
1480	274932	96347
1481	275106	96157
1482	275290	95971
1483	275461	95780
1484	275620	95585
1485	275804	95399
1486	275978	95209
1487	276152	95020
1488	276338	94834
1489	276526	94650
1490	276714	94465
1491	276898	94279
1492	277064	94086
1493	277228	93893
1494	277396	93702
1495	277576	93515
1496	277757	93327
1497	277921	93135
1498	278112	92951
1499	278258	92752
1500	278425	92561
1501	278596	92370
1502	278796	92190
1503	278949	91994
1504	279131	91807
1505	279303	91617
1506	279489	91432
1507	279664	91243
1508	279933	91085
1509	280144	90907
1510	280373	90736
1511	280553	90549
1512	280711	90354
1513	280890	90167
1514	281079	89982
1515	281273	89799
1516	281480	89620
1517	281677	89439
1518	281843	89247
1519	281995	89051
1520	282187	88867
1521	282363	88679
1522	282543	88491
1523	282702	88298
1524	282880	88110
1525	283064	87924
1526	283266	87744
1527	283430	87551
1528	283597	87360
1529	283783	87175
1530	283976	86992
1531	284145	86801
1532	284333	86617
1533	284532	86435
1534	284719	86250
1535	284937	86074
1536	285147	85896
1537	285313	85705
1538	285505	85521
1539	285678	85332
1540	285964	85177
1541	286257	85023
1542	286435	84835
1543	286643	84656
1544	286846	84475
1545	287032	84290
1546	287199	84099
1547	287385	83913
1548	287597	83735
1549	287773	83547
1550	287967	83364
1551	288151	83177
1552	288346	82994
1553	288528	82808
1554	288714	82622
1555	288881	82431
1556	289049	82240
1557	289218	82050
1558	289369	81855
1559	289552	81668
1560	289729	81480
1561	289898	81290
1562	290084	81104
1563	290263	80917
1564	290448	80731
1565	290645	80549
1566	290835	80364
1567	291012	80177
1568	291204	79992
1569	291400	79810
1570	291581	79623
1571	291770	79438
1572	291955	79253
1573	292196	79082
1574	292377	78895
1575	292570	78711
1576	292814	78541
1577	293006	78357
1578	293206	78175
1579	293381	77987
1580	293554	77798
1581	293745	77614
1582	293939	77430
1583	294139	77248
1584	294316	77060
1585	294506	76876
1586	294685	76688
1587	294886	76506
1588	295068	76320
1589	295250	76133
1590	295481	75959
1591	295700	75782
1592	295950	75613
1593	296138	75428
1594	296373	75254
1595	296572	75072
1596	296768	74888
1597	296973	74707
1598	297180	74527
1599	297398	74349
1600	297620	74172
1601	297790	73983
1602	298002	73803
1603	298205	73621
1604	298384	73434
1605	298570	73248
1606	298771	73066
1607	299038	72899
1608	299232	72715
1609	299419	72530
1610	299601	72343
1611	299802	72160
1612	299976	71972
1613	300154	71784
1614	300343	71598
1615	300576	71424
1616	300772	71240
1617	301024	71070
1618	301244	70892
1619	301499	70722
1620	301737	70548
1621	301958	70370
1622	302138	70182
1623	302331	69997
1624	302586	69827
1625	302800	69647
1626	303036	69472
1627	303205	69282
1628	303434	69106
1629	303686	68934
1630	303872	68748
1631	304105	68572
1632	304424	68416
1633	304645	68237
1634	304858	68057
1635	305078	67878
1636	305293	67697
1637	305514	67519
1638	305738	67340
1639	305947	67159
1640	306175	66981
1641	306407	66805
1642	306645	66629
1643	306829	66442
1644	307029	66258
1645	307224	66073
1646	307410	65887
1647	307608	65702
1648	307821	65521
1649	308061	65346
1650	308279	65166
1651	308618	65011
1652	308804	64824
1653	308980	64635
1654	309189	64453
1655	309415	64274
1656	309596	64086
1657	309795	63902
1658	310007	63720
1659	310196	63534
